category,item,xero_account_code,contract_budget,uncommitted,complete_on_site,hc_next_claim,hc_received,sc_invoiced,sc_paid,notes
Site Prep and Prelims,Site Office,311.48,6765.1,6765.1,0,0,0,0,0,0
Site Prep and Prelims,Toilet,311.49,2927.96,2927.96,0,0,0,0,0,0
Site Prep and Prelims,Security Camera,311.5,948.58,948.58,0,0,0,0,0,0
Site Prep and Prelims,Sediment/Silt Fencing S/I,311.51,1229.4,1229.4,0,0,0,0,0,0
Site Prep and Prelims,Ground Prep for Access,311.52,2500,2500,0,0,0,0,0,0
Site Prep and Prelims,Temp Electrical Connection,311.53,0.0001,0.0001,0,0,0,0,0,0
Site Prep and Prelims,Security Fencing S/I,311.54,5260.89,5260.89,0,0,0,0,0,0
Site Prep and Prelims,Unexpected Line Items,311.123,21000,21000,0,0,0,0,0,0
Site Prep and Prelims,Construction Insurance,311.124,21000,21000,0,0,0,0,0,0
Site Prep and Prelims,Temp Electrical Usage,311.126,2000,2000,0,0,0,0,0,0
Site Prep and Prelims,Rubbish Removal,311.127,2925,2925,0,0,0,0,0,0
Site Prep and Prelims,Builder Errors,311.128,21000,21000,0,0,0,0,0,0
Site Prep and Prelims,PM,311.129,76050,76050,0,0,0,0,0,0
Site Prep and Prelims,Site Manager,311.13,124666.67,124666.67,0,0,0,0,0,0
Site Prep and Prelims,Builder's Margin,311.131,262500,262500,0,0,0,0,0,0
Earthworks,Bulk Earthworks,311.9,40449,40449,0,0,0,0,0,0
Earthworks,Fill Disposal,311.1,35863.55,35863.55,0,0,0,0,0,0
Earthworks,Detailed Earthworks,311.12,169440,169440,0,0,0,0,0,0
Foundations,Piers - Piering - Permanent,311.91,30125,30125,0,0,0,0,0,0
Foundations,Piers - Concrete - Permanent,311.93,60000,60000,0,0,0,0,0,0
Foundations,Earthbolts,311.99,43800,43800,0,0,0,0,0,0
Structure,Precast Walls,311.138,1183780,1183780,0,0,0,0,0,0
Structure,Structural Roof Steel,311.139,444558.72,444558.72,0,0,0,0,0,0
Structure,Ground Slab,311.13,393473,393473,0,0,0,0,0,0
Mezzanine,Mezzanine Structural Steel,311.118,80000,80000,0,0,0,0,0,0
Mezzanine,Mezzanine Stairs,311.119,59330.56,59330.56,0,0,0,0,0,0
