category,item,xero_account_code,contract_budget,uncommitted,complete_on_site,hc_next_claim,hc_received,sc_invoiced,sc_paid,notes
Site Prep and Prelims,Site Amenities,314,12500,12500,0,0,0,0,0,0
Site Prep and Prelims,Temp Driveway,314,1761,1761,0,0,0,0,0,0
Site Prep and Prelims,Security Fencing S/I,314,7042.072315,7042.072315,0,0,0,0,0,0
Site Prep and Prelims,Sediment/Silt Fencing S/I,314,2774.2,2774.2,0,0,0,0,0,0
Site Prep and Prelims,Electrical - Temp Electrical Supply,314,12500,12500,0,0,0,0,0,0
Site Prep and Prelims,Security Camera,314,955,955,0,0,0,0,0,0
Site Prep and Prelims,Rubbish Removal,314,9945,9945,0,0,0,0,0,0
Site Prep and Prelims,Project Manager,314,79200,79200,0,0,0,0,0,0
Site Prep and Prelims,Site Supervisor,314,94000,94000,0,0,0,0,0,0
Site Prep and Prelims,Construction Insurance,314,33373.62324,33373.62324,0,0,0,0,0,0
Site Prep and Prelims,Unexpected Line Items,314,35800,35800,0,0,0,0,0,0
Site Prep and Prelims,Builder Minor Works,314,35800,35800,0,0,0,0,0,0
Earthworks,Bulk Earthworks,314,55000,55000,0,0,0,0,0,0
Earthworks,Stormwater Works,314,91357,91357,0,0,0,0,0,0
Earthworks,Detailed Earthworks,314,266400,266400,0,0,0,0,0,0
Earthworks,Detention Tank,314,119000,119000,0,0,0,0,0,0
Earthworks,Retention Tank,314,15000,15000,0,0,0,0,0,0
Earthworks,Fill Disposal,314,52200,52200,0,0,0,0,0,0
Earthworks,Imported Fill,314,0,0,0,0,0,0,0,0
Earthworks,Retaining Walls,314,0,0,0,0,0,0,0,0
Earthworks,Electrical - in ground works,314,93214,93214,0,0,0,0,0,0
Earthworks,Plumbing -sewer and water,314,197052,197052,0,0,0,0,0,0
Earthworks,Plumbing - hydrant,314,63000,63000,0,0,0,0,0,0
Foundations,Temporary Footings - Earthbolts,314,87600,87600,0,0,0,0,0,0
Foundations,Temporary Strip Footings,314,0,0,0,0,0,0,0,0
Foundations,Permanent Piers,314,312260.8696,312260.8696,0,0,0,0,0,0
Foundations,Permanent Strip Footings,314,0,0,0,0,0,0,0,0
Structure,Ground Slab,314,808860,808860,0,0,0,0,0,0
Structure,Steel Framing,314,925000,925000,0,0,0,0,0,0
Structure,Awnings Steel,314,100000,100000,0,0,0,0,0,0
Structure,Precast Walls,314,2228600,2228600,0,0,0,0,0,0
Mezzanine,Full Package Mezzanines,314,225000,225000,0,0,0,0,0,0
Roof,Roof Panels/Gutters/Downpipes,314,635850,635850,0,0,0,0,0,0
Roof,Panels over/under awnings,314,56985,56985,0,0,0,0,0,0
Car Park,Car Park Slab,314,545340,545340,0,0,0,0,0,0
Car Park,Kerb/plinth/crossover/planters,314,75600,75600,0,0,0,0,0,0
External Works,Landscaping,314,32500,32500,0,0,0,0,0,0
External Works,Chain Mesh Fencing S/I,314,29026.03831,29026.03831,0,0,0,0,0,0
External Works,Gate and Front Fence S/I,314,26715.80261,26715.80261,0,0,0,0,0,0
External Works,Wheel stops S/I,314,7309.76,7309.76,0,0,0,0,0,0
External Works,Bollards S/I,314,3209.8,3209.8,0,0,0,0,0,0
External Works,Letterbox S/I,314,2500,2500,0,0,0,0,0,0
External Works,Signage S/I,314,15000,15000,0,0,0,0,0,0
External Works,Line Painting,314,6030,6030,0,0,0,0,0,0
External Works,Paint and Mineral Supply,314,14003.28945,14003.28945,0,0,0,0,0,0
External Works,External Painting Install,314,22405.26312,22405.26312,0,0,0,0,0,0
External Works,Facade budget,314,121000,121000,0,0,0,0,0,0
Fitout,Windows/Entry Doors Supply,314," 121,135.01 "," 121,135.01 ",0,0,0,0,0,0
Fitout,Windows/Entry Doors Install,314," 50,000.00 "," 50,000.00 ",0,0,0,0,0,0
Fitout,Roller Doors S/I,314,99000,99000,0,0,0,0,0,0
Fitout,Bathroom Pods S/I,314,484000,484000,0,0,0,0,0,0
Fitout,Electrical Tradesman,314,330000,330000,0,0,0,0,0,0
Fitout,Kitchenettes S/I,314,115500,115500,0,0,0,0,0,0
Fitout,Fire Extinguishers S/I,314,4664,4664,0,0,0,0,0,0
Fitout,Instant HW Supply,314,33000,33000,0,0,0,0,0,0
Fitout,Kitchen tap Supply,314,2200,2200,0,0,0,0,0,0
Fitout,Solar,314,94000,94000,0,0,0,0,0,0
Fitout,Shipping and transport above to site,314,22000,22000,0,0,0,0,0,0
